"Station Name","HALIFAX STANFIELD INT'L A"
"Province","NOVA SCOTIA"
"Latitude","44.88"
"Longitude","-63.50"
"Elevation","145.40"
"Climate Identifier","8202250"
"WMO Identifier","71395"
"TC Identifier","YHZ"
"All times are specified in Local Standard Time (LST). Add 1 hour to adjust for Daylight Saving Time where and when it is observed."

"Legend"
"E","Estimated"
"M","Missing"
"NA","Not Available"
"‡","Partner data that is not subject to review by the National Climate Archives"

"Date/Time","Year","Month","Day","Time","Data Quality","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"2003-09-01 00:00","2003","09","01","00:00"," ","12.1","","8.2","","77","","29","","7","","32.2","","100.61","","","","","","Mainly Clear"
"2003-09-01 01:00","2003","09","01","01:00"," ","11.8","","7.8","","76","","29","","7","","32.2","","100.59","","","","","","Mainly Clear"
"2003-09-01 02:00","2003","09","01","02:00"," ","11.4","","6.9","","74","","27","","6","","32.2","","100.55","","","","","","Mainly Clear"
"2003-09-01 03:00","2003","09","01","03:00"," ","10.9","","6.2","","73","","23","","6","","32.2","","100.54","","","","","","Clear"
"2003-09-01 04:00","2003","09","01","04:00"," ","10.9","","6.8","","76","","22","","6","","32.2","","100.52","","","","","","Mainly Clear"
"2003-09-01 05:00","2003","09","01","05:00"," ","10.8","","6.9","","77","","19","","7","","32.2","","100.51","","","","","","Mostly Cloudy"
"2003-09-01 06:00","2003","09","01","06:00"," ","10.5","","6.9","","78","","20","","11","","24.1","","100.50","","","","","","Mostly Cloudy"
"2003-09-01 07:00","2003","09","01","07:00"," ","11.1","","7.5","","78","","20","","7","","24.1","","100.48","","","","","","Mostly Cloudy"
"2003-09-01 08:00","2003","09","01","08:00"," ","12.5","","8.0","","74","","21","","11","","24.1","","100.45","","","","","","Cloudy"
"2003-09-01 09:00","2003","09","01","09:00"," ","13.9","","9.0","","72","","20","","11","","24.1","","100.44","","","","","","Cloudy"
"2003-09-01 10:00","2003","09","01","10:00"," ","17.1","","9.1","","59","","25","","15","","24.1","","100.43","","","","","","Cloudy"
"2003-09-01 11:00","2003","09","01","11:00"," ","18.1","","10.1","","60","","24","","9","","24.1","","100.39","","","","","","Mostly Cloudy"
"2003-09-01 12:00","2003","09","01","12:00"," ","19.1","","10.7","","58","","25","","13","","24.1","","100.33","","","","","","Mostly Cloudy"
"2003-09-01 13:00","2003","09","01","13:00"," ","19.7","","10.1","","54","","26","","17","","24.1","","100.24","","","","","","Mostly Cloudy"
"2003-09-01 14:00","2003","09","01","14:00"," ","19.8","","10.3","","54","","22","","22","","24.1","","100.17","","","","","","Mostly Cloudy"
"2003-09-01 15:00","2003","09","01","15:00"," ","19.2","","10.2","","56","","22","","20","","24.1","","100.15","","","","","","Mostly Cloudy"
"2003-09-01 16:00","2003","09","01","16:00"," ","18.9","","11.1","","61","","21","","22","","24.1","","100.08","","","","","","Mostly Cloudy"
"2003-09-01 17:00","2003","09","01","17:00"," ","18.2","","11.7","","66","","20","","15","","24.1","","100.08","","","","","","Mostly Cloudy"
"2003-09-01 18:00","2003","09","01","18:00"," ","17.5","","11.7","","69","","21","","11","","24.1","","100.08","","","","","","Mostly Cloudy"
"2003-09-01 19:00","2003","09","01","19:00"," ","16.6","","11.1","","70","","22","","11","","24.1","","100.07","","","","","","Mostly Cloudy"
"2003-09-01 20:00","2003","09","01","20:00"," ","15.8","","10.9","","73","","23","","11","","24.1","","100.11","","","","","","Mostly Cloudy"
"2003-09-01 21:00","2003","09","01","21:00"," ","15.8","","10.9","","73","","23","","13","","24.1","","100.13","","","","","","Mostly Cloudy"
"2003-09-01 22:00","2003","09","01","22:00"," ","15.3","","10.3","","72","","23","","11","","24.1","","100.12","","","","","","Mostly Cloudy"
"2003-09-01 23:00","2003","09","01","23:00"," ","14.8","","10.3","","74","","24","","11","","24.1","","100.12","","","","","","Mostly Cloudy"
"2003-09-02 00:00","2003","09","02","00:00"," ","14.4","","10.3","","76","","24","","13","","24.1","","100.11","","","","","","Mostly Cloudy"
"2003-09-02 01:00","2003","09","02","01:00"," ","13.5","","10.1","","80","","27","","6","","24.1","","100.09","","","","","","Mainly Clear"
"2003-09-02 02:00","2003","09","02","02:00"," ","13.9","","10.3","","79","","33","","13","","24.1","","100.15","","","","","","Mostly Cloudy"
"2003-09-02 03:00","2003","09","02","03:00"," ","13.5","","10.6","","83","","34","","15","","24.1","","100.15","","","","","","Mostly Cloudy"
"2003-09-02 04:00","2003","09","02","04:00"," ","13.1","","10.7","","85","","33","","17","","24.1","","100.19","","","","","","Mostly Cloudy"
"2003-09-02 05:00","2003","09","02","05:00"," ","12.5","","10.5","","88","","33","","17","","24.1","","100.21","","","","","","Mostly Cloudy"
"2003-09-02 06:00","2003","09","02","06:00"," ","12.1","","10.2","","88","","33","","15","","24.1","","100.27","","","","","","Cloudy"
"2003-09-02 07:00","2003","09","02","07:00"," ","12.0","","9.2","","83","","32","","13","","24.1","","100.34","","","","","","Cloudy"
"2003-09-02 08:00","2003","09","02","08:00"," ","12.3","","7.7","","73","","33","","11","","24.1","","100.36","","","","","","Mostly Cloudy"
"2003-09-02 09:00","2003","09","02","09:00"," ","12.8","","7.5","","70","","33","","11","","24.1","","100.39","","","","","","Cloudy"
"2003-09-02 10:00","2003","09","02","10:00"," ","13.5","","8.1","","70","","36","","13","","24.1","","100.42","","","","","","Cloudy"
"2003-09-02 11:00","2003","09","02","11:00"," ","14.9","","7.1","","60","","35","","15","","24.1","","100.43","","","","","","Mostly Cloudy"
"2003-09-02 12:00","2003","09","02","12:00"," ","15.7","","7.0","","56","","34","","11","","24.1","","100.46","","","","","","Cloudy"
"2003-09-02 13:00","2003","09","02","13:00"," ","16.2","","7.0","","54","","36","","13","","24.1","","100.46","","","","","","Mostly Cloudy"
"2003-09-02 14:00","2003","09","02","14:00"," ","16.7","","6.4","","51","","34","","13","","24.1","","100.43","","","","","","Mostly Cloudy"
"2003-09-02 15:00","2003","09","02","15:00"," ","16.5","","6.5","","52","","1","","9","","24.1","","100.43","","","","","","Mostly Cloudy"
"2003-09-02 16:00","2003","09","02","16:00"," ","16.9","","6.4","","50","","34","","7","","24.1","","100.45","","","","","","Mainly Clear"
"2003-09-02 17:00","2003","09","02","17:00"," ","17.1","","5.8","","47","","33","","9","","24.1","","100.46","","","","","","Mainly Clear"
"2003-09-02 18:00","2003","09","02","18:00"," ","16.3","","4.7","","46","","1","","6","","24.1","","100.48","","","","","","Mainly Clear"
"2003-09-02 19:00","2003","09","02","19:00"," ","14.8","","5.9","","55","","","","0","","24.1","","100.53","","","","","","Mainly Clear"
"2003-09-02 20:00","2003","09","02","20:00"," ","12.9","","5.9","","62","","","","0","","24.1","","100.58","","","","","","Mainly Clear"
"2003-09-02 21:00","2003","09","02","21:00"," ","11.6","","5.4","","66","","31","","4","","24.1","","100.61","","","","","","Mainly Clear"
"2003-09-02 22:00","2003","09","02","22:00"," ","11.5","","6.1","","69","","2","","4","","24.1","","100.63","","","","","","Mainly Clear"
"2003-09-02 23:00","2003","09","02","23:00"," ","11.1","","3.4","","59","","7","","7","","24.1","","100.62","","","","","","Clear"
"2003-09-03 00:00","2003","09","03","00:00"," ","11.5","","4.4","","62","","11","","6","","24.1","","100.62","","","","","","Clear"
"2003-09-03 01:00","2003","09","03","01:00"," ","9.6","","4.5","","70","","10","","7","","24.1","","100.62","","","","","","Clear"
"2003-09-03 02:00","2003","09","03","02:00"," ","8.5","","5.1","","79","","","","0","","24.1","","100.63","","","","","","Clear"
"2003-09-03 03:00","2003","09","03","03:00"," ","8.4","","6.7","","89","","35","","4","","24.1","","100.62","","","","","","Clear"
"2003-09-03 04:00","2003","09","03","04:00"," ","8.2","","5.4","","82","","","","0","","24.1","","100.61","","","","","","Clear"
"2003-09-03 05:00","2003","09","03","05:00"," ","7.8","","4.5","","80","","","","0","","24.1","","100.64","","","","","","Clear"
"2003-09-03 06:00","2003","09","03","06:00"," ","8.3","","4.6","","77","","","","0","","24.1","","100.65","","","","","","Clear"
"2003-09-03 07:00","2003","09","03","07:00"," ","11.7","","6.4","","70","","34","","4","","24.1","","100.68","","","","","","Clear"
"2003-09-03 08:00","2003","09","03","08:00"," ","12.4","","7.8","","73","","2","","4","","24.1","","100.72","","","","","","Clear"
"2003-09-03 09:00","2003","09","03","09:00"," ","14.1","","7.3","","64","","32","","4","","24.1","","100.71","","","","","","Clear"
"2003-09-03 10:00","2003","09","03","10:00"," ","16.4","","5.8","","49","","3","","4","","24.1","","100.70","","","","","","Clear"
"2003-09-03 11:00","2003","09","03","11:00"," ","17.9","","5.2","","43","","30","","4","","24.1","","100.70","","","","","","Mainly Clear"
"2003-09-03 12:00","2003","09","03","12:00"," ","18.7","","6.4","","45","","26","","6","","24.1","","100.63","","","","","","Mainly Clear"
"2003-09-03 13:00","2003","09","03","13:00"," ","19.0","","6.2","","43","","32","","4","","24.1","","100.56","","","","","","Clear"
"2003-09-03 14:00","2003","09","03","14:00"," ","19.6","","5.6","","40","","21","","13","","32.2","","100.53","","","","","","Mainly Clear"
"2003-09-03 15:00","2003","09","03","15:00"," ","19.7","","5.8","","40","","15","","17","","32.2","","100.53","","","","","","Mainly Clear"
"2003-09-03 16:00","2003","09","03","16:00"," ","18.7","","4.6","","39","","18","","19","","32.2","","100.53","","","","","","Clear"
"2003-09-03 17:00","2003","09","03","17:00"," ","17.8","","1.6","","34","","16","","19","","32.2","","100.57","","","","","","Mainly Clear"
"2003-09-03 18:00","2003","09","03","18:00"," ","17.1","","4.5","","43","","18","","15","","32.2","","100.55","","","","","","Mainly Clear"
"2003-09-03 19:00","2003","09","03","19:00"," ","14.2","","7.4","","64","","16","","9","","32.2","","100.56","","","","","","Mainly Clear"
