BOTTLE,20001102WHPSIOJJW
#code : jjward hyd_to_exchange.pl V1.0
#original files copied from HTML directory: 2000.09.25
#original HYD file: a03hy.txt   Fri Oct 27 14:26:11 2000
#original SUM file: a03su.txt   Mon Sep 25 14:38:01 2000
EXPOCODE,SECT_ID,STNNBR,CASTNO,SAMPNO,BTLNBR,BTLNBR_FLAG_W,DATE,TIME,LATITUDE,LONGITUDE,DEPTH,CTDPRS,CTDTMP,CTDSAL,CTDSAL_FLAG_W,SALNTY,SALNTY_FLAG_W,OXYGEN,OXYGEN_FLAG_W,SILCAT,SILCAT_FLAG_W,NITRIT,NITRIT_FLAG_W,NO2+NO3,NO2+NO3_FLAG_W,PHSPHT,PHSPHT_FLAG_W
,,,,,,,,,,,,DBAR,IPTS-68,PSS-78,,PSS-78,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,,UMOL/KG,
      RUCT40_1,   A03,     3,  1,      5,      5,2,19930923,2222, 36.8758,  -8.5263,  202,      8.4,  16.5035,  36.1384,2,  36.1461,2,    253.0,2,     0.00,2,     0.04,2,     0.37,2,     0.07,2
      RUCT40_1,   A03,     3,  1,      4,      4,2,19930923,2222, 36.8758,  -8.5263,  202,     48.3,  14.9273,  36.1103,3,  36.1172,2,    215.3,2,     3.33,2,     0.08,2,     5.51,2,     0.35,2
      RUCT40_1,   A03,     3,  1,      3,      3,2,19930923,2222, 36.8758,  -8.5263,  202,     97.8,  13.9775,  35.9953,3,  36.0031,2,    193.2,2,     6.23,2,     0.14,2,     9.47,2,     0.62,2
      RUCT40_1,   A03,     3,  1,      2,      2,2,19930923,2222, 36.8758,  -8.5263,  202,    147.7,  13.6381,  35.9372,2,  35.9451,2,    204.1,2,     5.67,2,     0.06,2,     9.52,2,     0.60,2
      RUCT40_1,   A03,     3,  1,      1,      1,2,19930923,2222, 36.8758,  -8.5263,  202,    177.6,  12.9504,  35.8191,2,  35.8228,2,    208.1,2,     5.80,2,     0.01,2,    11.07,2,     0.68,2
      RUCT40_1,   A03,     4,  1,     16,     16,2,19930924,0013, 36.7187,  -8.6197,  742,     10.2,  17.6692,  36.1999,2,  36.1982,2,    247.9,2,     1.34,2,     0.04,2,     0.22,2,     0.03,2
      RUCT40_1,   A03,     4,  1,     15,     15,2,19930924,0013, 36.7187,  -8.6197,  742,     50.5,  16.2165,  36.1257,2,  36.1384,3,    251.3,2,     1.50,2,     0.11,2,     0.43,2,     0.10,2
      RUCT40_1,   A03,     4,  1,     14,     14,2,19930924,0013, 36.7187,  -8.6197,  742,    103.6,  14.6452,  36.1173,2,  36.1168,2,    219.1,2,     3.56,2,     0.01,2,     6.69,2,     0.41,2
      RUCT40_1,   A03,     4,  1,     13,     13,2,19930924,0013, 36.7187,  -8.6197,  742,    152.1,  14.1156,  36.0353,2,  36.0251,2,    213.9,2,     4.29,2,     0.01,2,     8.09,2,     0.48,2
      RUCT40_1,   A03,     4,  1,     12,     12,2,19930924,0013, 36.7187,  -8.6197,  742,    203.0,  13.5788,  35.9373,3,  35.9243,2,    213.0,2,     5.05,2,     0.01,2,     9.78,2,     0.70,3
