AHSFZZ##,HAB,m,
ATTNZS##,lightAttenuation,1/m,
AltimeterSensor,altimeterCalibration,,
CDOMZZ##,CDOM,mg/m^3,
CNDCST##,conductivity,S/m,
CNTR_##,scan,,
CPHLPR##,chlorophyllA,mg/m^3,
CRAT_##,conductivityRatio,,
ConductivitySensor,conductivityCalibration,,
ConductivitySensor_#,conductivityCalibration,,
DOXYZZ##,oxygen,ml/l,
FluoroWetlabCDOM_Sensor,fluorometerCalibration,,
FluoroWetlabECO_AFL_FL_Sensor,fluorescence,,
IRRDSV##,downwellingIrradiance,mu*Einsteins/s/m^2,
IRRDUV##,PAR,mu*Einstein/s/m^2,
OTMP_##,temperatureOptode,degree*C,,
OXYCRWuA##,oxygenCurrent,mu*amp,,
OXYOCPVL##,oxygenVoltage,V,
OxygenSensor,oxygenCalibration,,
OxygenSensor_#,oxygenCalibration,,
PARLog_SatlanticSensor,PARCalibration,,
PAR_BiosphericalLicorChelseaSensor,PARCalibration,,
PHXXZZ##,pH,,
POTMCV##,theta,degree*C,ITS-90
PRESPR##,pressure,dbar,
PSALST##,salinity,,PSS-78
PSLTZZ##,salinity,,PSS-78
PressureSensor,pressureCalibration,,
QALTB_##,HABFlag,,
QATBE_##,lightAttenuationFlag,,
QCDOMZZ##,CDOMFlag,,
QCFF_##,quality,,
QCNDC_##,conductivityFlag,,
QCNTR_##,scanFlag,,
QCPHLPR##,chlorophyllAFlag,,
QDOXY_##,oxygenFlag,,
QLATD_##,preciseLatitudeFlag,degree*E,
QLOND_##,preciseLongitudeFlag,degree*E,
QOXYV_##,oxygenVoltageFlag,,
QPHPH_##,pHFlag,,
QPOTM_##,thetaFlag,,
QPRES_##,pressureFlag,,
QPSAL_##,salinityFlag,,
QPSAR_##,PARFlag,,
QSIGP_##,sigmaThetaFlag,,
QSPAR_##,downwellingIrradianceFlag,,
QTEMP_##,temperatureFlag,,
QTUR4_##,turbidityFlag,,
RecPerBin,recordsPerBin,,
SIGTEQ##,sigmaTheta,kg/m^3,
SIGTEQST##,sigmaTheta,kg/m^3,
SPAR_Sensor,downwellingIrradianceCalibration,,
SPAR_Sensor_##,downwellingIrradianceCalibration,,
ScanNumber,scan,,
TEMPP68#,temperature,degree*C,IPTS-68
TEMPP90#,temperature,degree*C,ITS-90
TEMPPR##,temperature,degree*C,
TEMPS60#,temperature,degree*C,IPTS-68
TEMPS90#,temperature,degree*C,ITS-90
TRUBNTU##,turbidity,NTU,,
TemperatureSensor,temperatureCalibration,,
TemperatureSensor_#,temperatureCalibration,,
WET_LabsCStar,transmissometerCalibration,,
latitude,latitude,degree*N,
longitude,longitude,degree*E,
measurement_time,timeMeasurement,s,since 1970-01-01
pHSensor,pHCalibration,,
pHSensor_#,pHCalibration,,
pH_Sensor,pHCalibration,,
preciseLat,latitudePrecise,degree*N,
preciseLon,longitudePrecise,degree*E,
time,time,,
