C2-C1S/m,conductivityDifference,S/m,
C2-C1mS/cm,conductivityDifference,mS/cm,
C2-C1uS/cm,conductivityDifference,mS/cm,
CStarAt#,beamAttenuation,1/m,"WET Labs C-Star"
CStarTr#,beamTransmission,percent,"WET Labs C-Star"
PSAL,salinity,,PSS-78
T2-T[01]68C,temperatureDifference,degree*C,IPTS-68
T2-T[01]90C,temperatureDifference,degree*C,ITS-90
acc,acceleration,m/s^2,
accM,acceleration,m/s^2,
accM,acceleration,m/s^2,
alt,altimeter,m,
altM,altimeter,m,
bat,beamAttenuation,1/m,Chelsea/Seatech
c(ond)?((_)|([0-2]))S/m,conductivity,S/m,
c(ond)?((_)|([0-2]))mS/cm,conductivity,mS/cm,
c(ond)?((_)|([0-2]))uS/cm,conductivity,mu*S/cm,
cond#mS/cm,conductivity,mS/cm,
cpar,CPAR/Corrected Irradience,percent,
density##,density,kg/m^3,
density,density,kg/m^3,
dep[FS][M]?,depth,m,
dz/dt[M]?,descentRate,m/s,
f[0-9][0-9]?,frequency,Hz,
flCM[1]?,fluorescence,mu*g/l,Chelsea Mini Chl Con
flCUVA[12]?,fluorescence,mu*g/l,Chelsea UV Aquatracka
flC[1]?,fluorescence,mu*g/l,Chelsea
flECO-AFL[0-9]?,fluorescence,mg/m^3,WET Labs
flS,fluorescence,,Seatech
flSPR,fluorescence,,Seapoint Rhodamine
flSP[0-9]?,fluorescence,,Seapoint
flSPuv[0-9]?,fluorescence,,Seapoint UV
flScufa[0-9]?,fluorescence,,Turner SCUFA
flT,fluorescence,,Turner
flag,flag,,
flflTC[0-1],fluorescein,ppb,Turner Cyclops
flflTCdiff,fluoresceinDifference,ppb,Turner Cyclops
gpa,geopotentialAnomaly,J/kg,
latitude,latitude,degree*N,
longitude,longitude,degree*E,
n2satML/L,nitrogenSaturation,ml/l,
n2satMg/L,nitrogenSaturation,mg/l,
n2satumol/L,nitrogenSaturation,mu*mol/l,
n2satumol/kg,nitrogenSaturation,mu*mol/kg,
nbf,bottlesFired,,
nbin,nbin,,
obsscufa[1-9]?,backscatter,NTU,Turner SCUFA
opoxML/L,oxygen,ml/l,Optode Aanderaa
opoxMg/L,oxygen,mg/l,Optode Aanderaa
opoxMm/L,oxygen,mu*mol/l,Optode Aanderaa
opoxPS,oxygenSaturation,percent,Optode Aanderaa
oxC,oxygenCurrent,mu*amp,Beckman YSI
oxMg/L,oxygen,mg/l,Beckman YSI
oxPS,oxygenSaturation,percent,Beckman YSI
oxTC,oxygenTemperature,degree*C,Beckman YSI
oxsatML/L,oxygen,ml/l,
oxsatML/L,oxygen,ml/l,Weiss
oxsatMg/L,oxygen,mg/,Weiss
oxsatMg/L,oxygen,mg/l,
oxsatMm/Kg,oxygen,mu*mol/kg,
oxsatMm/Kg,oxygen,mu*mol/kg,Weiss
oxsolML/L,oxygen,ml/l,Garcia-Gordon
oxsolMg/L,oxygen,mg/l,Garcia-Gordon
oxsolMm/Kg,oxygen,mu*mol/kg,Garcia-Gordon
par/log,PAR,log,Satlantic
par[0-9]?,PAR,,Biospherical/Licor
ph,pH,,
potemp[0-9]*68C,theta,degree*C,IPTS-68
potemp[0-9]*90C,theta,degree*C,ITS-90
pr,pressure,dbar,
pr50M[0-9]?,pressure,dbar,SBE50
prDM,pressure,dbar,Digiquartz
prM,pressure,dbar,
pr[dD]E,pressurePSI,PSI,
pr[dS]M,pressure,dbar,Strain Gauge
ptempC,pressureTemperature,degree*C,ITS-90
pumps,pumpStatus,,
rhodflTC[0-1]{1},Rhodamine,ppb,Turner Cyclops
rhodflTCdiff,RhodamineDifference,ppb,Turner Cyclops
sal[0-9]{2},salinity,,PSS-78
