"MicroEinstein[s]{0,1} m-2 s-1",mu*Einsten/m^2/s,
"count[s]{0,1}",count,
"dbar[s]{0,1}",dbar,
"decibar[s]{0,1}",dbar,
"degree[s]{0,1} decimal minute[s]{0,1}", degreeDecimalMinute,
"degree[s]{0,1}",degree,
"degree[s]{0,1}.C",degree*C,
"degree[s]{0,1}.celsius",degree*C,
"degree[s]{0,1}.east",degree*E,
"degree[s]{0,1}.north",degree*N,
"degree[s]{0,1}.south",degree*S,
"degree[s]{0,1}.west",degree*W,
"degree[s]{0,1}_C",degree*C,
"degree[s]{0,1}_east",degree*East,
"degree[s]{0,1}_north",degree*North,
"pH unit[s]{0,1}",pH,
%,percent,
,,
/m/sr,m^-1*sr^-1,
1,,
1/m,1/m,
NTU,NTU,
PSS-78,PSS-78,
PSU,,PSS-78
S m-1,S/m,
S m\^-1,S/m,
S/m,S/m
W kg-1,W/kg
W kg\^-1,W/kg
W/kg,W/kg
ah,A*hr,
amp,A,
amp-hrs,A*hr,
bar,bar,
bool,,
boolean,,
byte,,
cc,cm^3,
celsius,degree*C,
db,dbar,
dbar,dbar,
deg,degree,
degc,degree*C,
deg C,degree*C,
enum,,,
inHg,inch*Hg,
inch,inch,
ipts[ -]68,degree*C,IPTS-68
its[ -]90,degree*C,ITS-90
.*[kK]g m-3,kg/m^3,
.*[kK]g m^-3,kg/m^3,
.*[kK]g/m\^3,kg/m^3,
m s-1,m/s,
m s\^-2,m/s^2
m,m,
m-1,1/m,
m/s,m/s,
m/s\^2,m/s^2
mS cm-1,mS/cm,
mS cm\^-1,mS/cm,
mS/cm,mS/cm,
mV,mV,
mg m-3,mg/m^3,
mg/m\^3,mg/m^3,
micromol l-1,mu*mol/l,
micromol l\^-1,mu*mol/l,
micromol/l,mu*mol/l,
micromole kg-1,mu*mol/kg,
micromole kg\^-1,mu*mol/kg,
micromole/kg,mu*mol/kg,
ml [lL]-1,ml/l,
ml [lL]\^-1,ml/l,
ml/[lL],ml/l,
muS cm-1,mu*S/cm,
muS cm\^-1,mu*S/cm,
muS/cm,mu*S/cm,
nodim,,
ppb,ppb,
pss-78,,PSS-78
psu,,PSS-78
rad,rad,
s m-1,s/m,
s m\^-1,s/m,
s,s,
s/m,s/m,
sec,s,
seconds since 1970-01-01T00:00:00Z,s,since 1970-01-01
seconds since 1990-01-01,s,since 1990-01-01
uEinsteins s-1 m-2,mu*Einstein/m^2/s^1,
uEinsteins s\^-1 m\^-2,mu*Einstein/m^2/s^1,
uEinsteins/s/m\^2,mu*Einstein/m^2/s^1,
ug/kg,mu*g/kg,
ug/l,mu*g/l,
umol kg-1,mu*mol/kg,
umol l-1,mu*mol/l,
umol l\^-1,mu*mol/l,
umol/kg,mu*mol/kg,
umol/l,mu*mol/l,
unixtimestamp,s,since 1970-01-01
uw cm\^-2 nm\^-1,mu*W/cm^2/nm,
uw/cm-2 nm-1,mu*W/cm^2/nm,
uw/cm\^2/nm,mu*W/cm^2/nm,
volt,V,
volts,V,
watt,W,
watts,W,
